province,regency,district,village,rizuku_postal,rizma_postal,match_level,status
"Lampung","Kabupaten Tanggamus","Sumberejo","Sumber Rejo","21255","62191","district+village","mismatch"
"Daerah Khusus Ibukota Jakarta","Kota Administrasi Jakarta Utara","Tanjung Priok","Sunter Jaya","14360","14350","district+village","mismatch"
"Daerah Khusus Ibukota Jakarta","Kota Administrasi Jakarta Utara","Tanjung Priok","Warakas","14370","14340","district+village","mismatch"
"Daerah Khusus Ibukota Jakarta","Kota Administrasi Jakarta Selatan","Jagakarsa","Lenteng Agung","12630","12610","district+village","mismatch"
"Jawa Timur","Kabupaten Bojonegoro","Sumberrejo","Sumberrejo","54172","35374","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Pangkajene","Pabundukang","90616","90613","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Pangkajene","Padoang Doangan","90617","90611","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Pangkajene","Tekolabbua","90617","90612","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Pangkajene","Bonto Perak","90617","90613","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Balocci","Balocci Baru","90661","90662","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Balocci","Tonasa","90661","90662","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Balocci","Tompo Bulu","92766","90662","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Segeri","Bonto Matene","90656","90655","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Segeri","Segeri","90656","90655","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Segeri","Bone","90656","90655","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Segeri","Baring","90656","90655","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Segeri","Parenreng","90656","90655","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Minasate'ne","Kalabbirang","92211","90615","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Minasate'ne","Bontoa","92316","90619","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Minasate'ne","Bonto Langkasa","92451","90618","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Minasate'ne","Panaikang","92311","90619","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Mandalle","Benteng","90655","90652","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Mandalle","Manggalung","90655","90652","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Mandalle","Mandalle","90655","90652","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Mandalle","Boddie","90655","90652","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Mandalle","Coppo Tompong","90655","90652","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Tondong Tallasa","Bantimurung","90566","90661","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Tondong Tallasa","Lanne","90566","90661","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Tondong Tallasa","Bulu Tellue","90566","90661","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Tondong Tallasa","Malaka","90566","90661","district+village","mismatch"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan","Tondong Tallasa","Bonto Birao","90566","90661","district+village","mismatch"
